"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","15,255,709","100"
"2","www.blogger.com","31,259,468","100"
"3","youtube.com","24,325,855","100"
"4","wordpress.org","12,518,209","99"
"5","linkedin.com","13,261,699","99"
"6","apple.com","6,839,052","99"
"7","support.google.com","5,737,680","99"
"8","microsoft.com","5,576,463","99"
"9","docs.google.com","3,637,874","98"
"10","en.wikipedia.org","7,211,447","98"
"11","youtu.be","5,442,575","98"
"12","maps.google.com","6,201,540","98"
"13","cloudflare.com","8,082,123","98"
"15","play.google.com","4,008,378","98"
"16","adobe.com","2,885,701","97"
"19","whatsapp.com","4,726,357","97"
"20","drive.google.com","2,676,649","97"
"21","sites.google.com","2,395,535","97"
"23","plus.google.com","11,017,206","97"
"24","accounts.google.com","2,557,458","97"
"25","facebook.com","61,964,595","96"
"26","vk.com","1,869,944","96"
"27","amazon.com","5,159,112","96"
"28","uol.com.br","694,564","96"
"29","vimeo.com","3,641,417","96"
"30","policies.google.com","3,520,510","96"
"31","github.com","3,155,225","96"
"32","istockphoto.com","3,724,408","96"
"34","search.google.com","1,822,764","95"
"35","enable-javascript.com","8,003,754","95"
"36","dropbox.com","1,127,682","95"
"37","live.com","1,023,173","95"
"38","cpanel.net","2,134,878","95"
"39","google.es","481,439","95"
"40","developers.google.com","1,171,582","95"
"41","www.weebly.com","6,776,616","95"
"42","files.wordpress.com","7,671,619","95"
"43","wikimedia.org","2,112,879","95"
"44","draft.blogger.com","12,669,823","95"
"45","cnn.com","1,674,411","95"
"46","gstatic.com","641,901","95"
"47","creativecommons.org","1,780,006","95"
"48","jimdofree.com","1,702,297","95"
"49","workspace.google.com","934,289","95"
"50","google.com.br","298,994","95"
"51","brandbucket.com","11,178,199","95"
"52","tools.google.com","1,855,540","95"
"53","medium.com","1,855,217","95"
"54","theguardian.com","1,609,686","95"
"55","dailymotion.com","1,134,729","95"
"56","tiktok.com","1,450,899","95"
"57","nytimes.com","2,222,685","95"
"58","myspace.com","1,370,157","95"
"59","es.wikipedia.org","995,374","95"
"60","slideshare.net","1,004,848","95"
"62","bbc.co.uk","1,754,161","95"
"63","mail.google.com","693,963","95"
"64","globo.com","467,908","95"
"65","ok.ru","378,553","95"
"66","news.google.com","868,243","95"
"67","w3.org","1,147,550","95"
"68","googleblog.com","4,358,833","95"
"69","paypal.com","1,190,463","95"
"70","goo.gl","5,154,894","95"
"71","imdb.com","1,562,486","95"
"72","netvibes.com","1,237,099","95"
"73","pt.wikipedia.org","426,356","95"
"74","feedburner.com","1,797,604","95"
"75","fr.wikipedia.org","659,470","95"
"76","google.de","1,087,030","95"
"78","wa.me","2,027,325","95"
"79","www.yahoo.com","1,321,642","95"
"80","gravatar.com","12,672,187","95"
"82","fb.com","487,466","94"
"83","indiatimes.com","514,315","94"
"86","time.com","858,202","94"
"87","t.co","2,203,846","94"
"88","archive.org","1,388,972","94"
"89","aboutads.info","723,102","94"
"92","de.wikipedia.org","683,645","94"
"93","spotify.com","1,823,388","94"
"94","shopify.com","3,442,667","94"
"95","huffpost.com","1,198,527","94"
"96","wp.com","2,248,727","94"
"97","who.int","2,040,624","94"
"99","amazon.co.jp","884,213","94"
"100","afternic.com","2,632,755","94"
"101","independent.co.uk","784,748","94"
"102","change.org","510,906","94"
"104","picasaweb.google.com","622,029","94"
"105","bloomberg.com","888,959","94"
"106","discord.com","505,709","94"
"107","pinterest.com","9,116,007","94"
"108","telegraph.co.uk","1,017,957","94"
"109","bit.ly","5,071,659","94"
"110","hatena.ne.jp","1,636,285","94"
"111","mail.ru","483,025","94"
"112","thesun.co.uk","430,393","94"
"113","google.co.uk","593,358","94"
"114","news.yahoo.com","724,932","94"
"115","ovh.com","665,045","94"
"116","bing.com","1,075,110","94"
"117","plesk.com","713,504","94"
"118","forbes.com","1,490,438","94"
